fn,ln,mi,gender,sg,salary,dept,hiredate,termdate
"Karen","BARNES","A","F",7,"3X594608","proj","3/10/2009","" 
"Nancy","GONZALES","F","F",3,"68313","pub","2/5/2017","" 
"Margaret","FISHER","P","F",6,"3X482113","fin","5/28/2010","" 
"Lisa","VASQUEZ","W","F",3,"69372","acc","7/28/2015","" 
"Betty","SIMMONS","W","F",6,"3X406299","pub","5/22/2008","" 
"Dorothy","ROMERO","A","F",6,"3X492174","I.T.","6/13/2015","" 
"Sandra","JORDAN","","F",6,"3X499481","acc","11/27/2006","" 
"Ashley","PATTERSON","","F",2,"58949","acc","7/4/2016","" 
"Kimberly","ALEXANDER","F","F",7,"3X532531","pub","3/3/2005","" 
"Donna","HAMILTON","F","F",3,"89784","pub","6/24/2016","" 
"Emily","GRAHAM","F","F",6,"3X498736","acc","5/11/2015","3/16/2019" 
"Michelle","REYNOLDS","F","F",3,"67008","acc","11/29/2015","" 
"Carol","GRIFFIN","","F",6,"3X488132","I.T.","11/27/2008","" 
"Amanda","WALLACE","G","F",7,"3X580658","pub","2/3/2015","" 
"Melissa","MORENO","","F",5,"111619","hr","5/29/2010","" 
"Deborah","WEST","P","F",3,"67364","I.T.","2/4/2017","" 
"Stephanie","COLE","A","F",1,"33005","comp","2/22/2017","" 
"Rebecca","HAYES","","F",4,"86128","fin","6/2/2011","" 
"Laura","BRYANT","P","F",3,"71972","pub","5/31/2016","" 
"Sharon","HERRERA","G","F",7,"3X563477","hr","6/27/2012","" 
"Cynthia","GIBSON","F","F",3,"70454","proj","9/13/2016","" 
"Kathleen","ELLIS","","F",3,"75712","comp","5/28/2018","" 
"Helen","TRAN","","F",5,"125767","fin","10/30/2015","" 
"Amy","MEDINA","F","F",4,"110471","proj","1/27/2014","" 
"Shirley","AGUILAR","J","F",3,"79150","fin","8/9/2016","" 
"Angela","STEVENS","","F",1,"23636","I.T.","2/27/2018","" 
"Anna","MURRAY","","F",6,"3X494360","pub","5/6/2006","" 
"Brenda","FORD","J","F",6,"3X407227","fin","1/27/2005","" 
"Pamela","CASTRO","","F",6,"3X480122","hr","2/15/2005","" 
"Nicole","MARSHALL","J","F",2,"43113","hr","3/16/2016","" 
"Ruth","OWENS","G","F",7,"3X591237","I.T.","1/9/2010","" 
"Katherine","HARRISON","A","F",6,"3X415946","fin","10/26/2012","" 
"Samantha","FERNANDEZ","G","F",1,"22000","proj","12/12/2015","1/11/2020" 
"Christine","MCDONALD","W","F",6,"3X410772","comp","1/5/2005","" 
"Emma","WOODS","","F",4,"95137","I.T.","8/21/2015","" 
"Catherine","WASHINGTON","","F",3,"71072","I.T.","5/18/2018","" 
"Debra","KENNEDY","A","F",7,"3X529480","I.T.","5/18/2009","" 
"Virginia","WELLS","F","F",3,"75454","pub","4/8/2018","" 
"Rachel","VARGAS","W","F",7,"3X547430","fin","12/21/2009","" 
"Carolyn","HENRY","J","F",1,"38161","acc","5/24/2016","" 
"Janet","CHEN","A","F",3,"88444","comp","10/19/2016","" 
"Maria","FREEMAN","F","F",2,"48789","acc","1/7/2015","" 
"Heather","WEBB","J","F",7,"3X630856","fin","3/10/2005","" 
"Diane","TUCKER","","F",5,"132094","I.T.","4/25/2012","" 
"Julie","GUZMAN","P","F",5,"104220","proj","11/21/2010","" 
"Joyce","BURNS","F","F",4,"90247","fin","1/17/2013","" 
"Victoria","CRAWFORD","W","F",5,"135079","I.T.","9/24/2015","" 
"Kelly","OLSON","","F",6,"3X418208","I.T.","5/21/2003","" 
"Christina","SIMPSON","J","F",4,"100426","I.T.","12/21/2010","" 
"Joan","PORTER","G","F",6,"3X413009","I.T.","9/1/2011","" 
"Evelyn","HUNTER","","F",4,"106025","acc","6/29/2015","" 
"Lauren","GORDON","","F",5,"127502","fin","7/26/2013","" 
"Judith","MENDEZ","P","F",1,"21875","proj","1/3/2016","" 
"Olivia","SILVA","","F",2,"44393","comp","7/31/2015","" 
"Frances","SHAW","A","F",3,"78627","pub","5/25/2018","" 
"Martha","SNYDER","","F",6,"3X407007","hr","5/28/2015","" 
"Cheryl","MASON","","F",2,"50090","fin","2/4/2015","" 
"Megan","DIXON","P","F",5,"109222","I.T.","9/14/2016","" 
"Andrea","MUNOZ","","F",2,"41244","comp","6/21/2015","" 
"Hannah","HUNT","","F",7,"3X514611","I.T.","5/9/2013","" 
"Jacqueline","HICKS","","F",5,"132066","comp","5/8/2010","" 
"Ann","HOLMES","","F",2,"44843","fin","11/27/2014","" 
"Jean","PALMER","P","F",2,"64211","hr","11/25/2017","" 
"Alice","WAGNER","F","F",3,"72676","comp","8/10/2015","" 
"Kathryn","BLACK","A","F",7,"3X581046","comp","5/13/2003","" 
"Gloria","ROBERTSON","P","F",3,"62268","hr","11/25/2016","" 
"Teresa","BOYD","","F",3,"88734","comp","7/22/2016","" 
"Doris","ROSE","P","F",2,"41805","pub","9/6/2015","6/25/2016" 
"Sara","STONE","","F",3,"75406","acc","11/29/2016","" 
"Janice","SALAZAR","","F",7,"3X679195","acc","11/8/2003","" 
"Julia","FOX","A","F",5,"140502","pub","5/10/2014","" 
"Marie","WARREN","","F",3,"68500","acc","5/19/2016","" 
"Madison","MILLS","J","F",7,"3X571701","I.T.","8/29/2011","" 
"Grace","MEYER","","F",6,"3X401412","I.T.","5/5/2004","" 
"Judy","RICE","G","F",5,"116524","acc","3/11/2011","" 
"Theresa","SCHMIDT","","F",1,"35137","pub","3/27/2017","" 
"Beverly","GARZA","W","F",2,"50123","comp","5/1/2018","10/15/2018" 
"Denise","DANIELS","","F",7,"3X550741","fin","10/13/2002","" 
"Marilyn","FERGUSON","","F",2,"62321","pub","12/29/2015","" 
"Amber","NICHOLS","G","F",1,"34268","acc","9/16/2015","" 
"Danielle","STEPHENS","","F",4,"76809","fin","9/16/2017","" 
"Abigail","SOTO","F","F",5,"126690","fin","6/2/2012","" 
"Brittany","WEAVER","J","F",3,"63398","I.T.","1/30/2016","" 
"Rose","RYAN","","F",6,"3X411237","pub","6/10/2004","" 
"Diana","GARDNER","","F",6,"3X403337","proj","9/30/2003","" 
"Natalie","PAYNE","","F",5,"126359","hr","9/3/2014","" 
"Sophia","GRANT","A","F",6,"3X487173","hr","10/26/2007","" 
"Alexis","DUNN","G","F",4,"115802","comp","3/11/2011","" 
"Lori","KELLEY","","F",4,"99404","comp","12/3/2015","" 
"Kayla","SPENCER","F","F",5,"131768","pub","3/5/2017","" 
"Jane","HAWKINS","F","F",5,"122661","hr","11/7/2011","" 
"James","ARNOLD","","M",4,"110029","acc","1/27/2010","" 
"John","PIERCE","J","M",2,"44132","pub","10/18/2016","8/8/2017" 
"Robert","VAZQUEZ","G","M",4,"113424","comp","11/6/2012","" 
"Michael","HANSEN","A","M",4,"110225","acc","4/26/2014","" 
"William","PETERS","F","M",1,"35851","I.T.","11/30/2018","" 
"David","SANTOS","","M",7,"3X572656","proj","5/4/2004","" 
"Richard","HART","","M",1,"26291","proj","11/7/2018","" 
"Joseph","BRADLEY","W","M",7,"3X551788","proj","7/26/2010","" 
"Thomas","KNIGHT","","M",4,"123643","comp","12/28/2016","" 
"Charles","ELLIOTT","P","M",6,"3X418822","hr","2/26/2005","" 
"Christopher","CUNNINGHAM","G","M",6,"3X403102","acc","1/11/2013","" 
"Daniel","DUNCAN","J","M",6,"3X490762","pub","10/16/2004","" 
"Matthew","ARMSTRONG","","M",7,"3X544840","fin","1/19/2004","" 
"Anthony","HUDSON","P","M",5,"129905","hr","8/16/2010","" 
"Donald","CARROLL","A","M",4,"91703","acc","12/10/2015","" 
"Mark","LANE","","M",1,"35626","proj","7/26/2015","" 
"Paul","RILEY","","M",4,"114236","acc","1/1/2012","" 
"Steven","ANDREWS","F","M",2,"67515","acc","2/16/2015","" 
"Andrew","ALVARADO","","M",2,"50037","proj","12/27/2017","" 
"Kenneth","RAY","G","M",7,"3X659989","comp","9/23/2010","3/5/2018" 
"Joshua","DELGADO","J","M",4,"107209","proj","6/4/2010","" 
"George","BERRY","","M",6,"3X545810","hr","3/5/2007","" 
"Kevin","PERKINS","P","M",2,"59355","I.T.","1/23/2016","" 
"Brian","HOFFMAN","","M",7,"3X604253","hr","8/9/2010","" 
"Edward","JOHNSTON","P","M",1,"37588","acc","12/9/2016","" 
"Ronald","MATTHEWS","G","M",3,"74160","hr","11/14/2018","" 
"Timothy","PENA","P","M",4,"108039","pub","8/9/2012","" 
"Jason","RICHARDS","J","M",3,"72776","hr","4/27/2017","" 
"Jeffrey","CONTRERAS","","M",6,"3X413342","fin","11/28/2014","" 
"Ryan","WILLIS","","M",4,"90350","acc","3/14/2017","" 
"Jacob","CARPENTER","","M",4,"97033","pub","1/17/2010","" 
"Gary","LAWRENCE","F","M",7,"3X613573","hr","12/2/2006","" 
"Nicholas","SANDOVAL","","M",2,"54933","acc","7/19/2017","" 
"Eric","GUERRERO","","M",2,"50288","comp","1/9/2017","" 
"Stephen","GEORGE","F","M",3,"67477","hr","12/30/2018","" 
"Jonathan","CHAPMAN","W","M",2,"64279","comp","10/6/2016","1/30/2020" 
"Larry","RIOS","P","M",4,"116269","fin","12/19/2010","5/6/2011" 
"Justin","ESTRADA","J","M",7,"3X637103","comp","2/12/2007","" 
"Scott","ORTEGA","G","M",2,"43184","I.T.","11/18/2018","" 
"Brandon","WATKINS","F","M",5,"144149","proj","1/10/2013","" 
"Frank","GREENE","","M",7,"3X581183","fin","12/16/2003","" 
"Benjamin","NUNEZ","G","M",4,"90399","fin","1/27/2017","" 
"Gregory","WHEELER","","M",3,"66120","pub","1/3/2016","" 
"Samuel","VALDEZ","","M",6,"3X426455","hr","8/12/2010","" 
"Raymond","HARPER","","M",2,"49376","pub","10/31/2015","" 
"Patrick","BURKE","A","M",6,"3X401691","hr","10/17/2005","" 
"Alexander","LARSON","A","M",3,"74324","hr","12/28/2017","" 
"Jack","SANTIAGO","","M",2,"47049","comp","4/1/2016","" 
"Dennis","MALDONADO","","M",6,"3X415812","comp","12/9/2013","" 
"Jerry","MORRISON","","M",3,"102594","fin","5/2/2018","" 
"Tyler","FRANKLIN","J","M",3,"86583","pub","8/3/2018","" 
"Aaron","CARLSON","P","M",5,"122521","comp","5/5/2010","" 
"Jose","AUSTIN","J","M",7,"3X585730","fin","9/17/2012","12/16/2018" 
"Henry","DOMINGUEZ","P","M",7,"3X676614","I.T.","9/8/2004","" 
"Douglas","CARR","P","M",4,"123475","I.T.","7/5/2012","" 
"Adam","LAWSON","P","M",4,"109660","comp","5/23/2014","" 
"Peter","JACOBS","P","M",3,"92001","hr","11/5/2018","12/15/2018" 
"Nathan","OBRIEN","P","M",1,"44283","hr","1/5/2016","" 
"Zachary","LYNCH","J","M",1,"25613","pub","9/26/2016","" 
"Walter","SINGH","G","M",7,"3X543437","fin","4/2/2009","" 
"Kyle","VEGA","J","M",2,"52678","I.T.","1/28/2017","" 
"Harold","BISHOP","","M",6,"3X402262","fin","10/17/2015","" 
"Carl","MONTGOMERY","G","M",2,"58887","comp","9/14/2015","" 
"Jeremy","OLIVER","P","M",1,"28649","proj","10/14/2018","11/14/2018" 
"Keith","JENSEN","J","M",1,"35948","I.T.","10/28/2017","" 
"Roger","HARVEY","W","M",4,"110179","acc","9/20/2011","" 
"Gerald","WILLIAMSON","F","M",7,"3X699760","pub","7/15/2006","" 
"Ethan","GILBERT","","M",3,"79105","pub","7/16/2018","" 
"Arthur","DEAN","","M",4,"116742","fin","10/14/2013","" 
"Terry","SIMS","W","M",5,"139100","I.T.","6/11/2015","" 
"Christian","ESPINOZA","G","M",4,"103330","hr","10/6/2017","" 
"Sean","HOWELL","A","M",2,"43914","fin","1/17/2016","" 
"Lawrence","LI","A","M",5,"125253","acc","2/4/2017","" 
"Austin","WONG","W","M",4,"104977","fin","12/12/2016","" 
"Joe","REID","","M",4,"97670","acc","1/20/2017","" 
"Noah","HANSON","F","M",5,"134504","comp","9/20/2012","" 
"Jesse","LE","F","M",5,"145181","pub","11/9/2017","" 
"Albert","MCCOY","G","M",6,"3X421169","hr","10/27/2007","" 
"Bryan","GARRETT","F","M",6,"3X418319","fin","2/16/2010","" 
"Billy","BURTON","G","M",2,"50776","fin","8/29/2017","" 
"Bruce","FULLER","P","M",2,"57110","I.T.","8/22/2016","" 
"Willie","WANG","J","M",7,"3X547784","proj","4/23/2010","" 
"Jordan","WEBER","P","M",3,"77732","I.T.","11/10/2017","" 
"Dylan","WELCH","","M",6,"3X401557","I.T.","4/28/2012","7/18/2013" 
"Alan","ROJAS","G","M",6,"3X428445","acc","11/16/2011","" 
"Ralph","LUCAS","","M",1,"31509","pub","7/9/2016","" 
"Gabriel","MARQUEZ","G","M",5,"126834","fin","12/12/2012","" 
"Roy","FIELDS","F","M",5,"134977","I.T.","5/12/2015","" 
"Juan","PARK","","M",4,"118816","comp","6/25/2016","12/16/2019" 
"Wayne","YANG","","M",2,"61901","I.T.","5/1/2016","" 
"Eugene","LITTLE","P","M",6,"3X429267","acc","5/1/2007","" 
"Logan","BANKS","","M",3,"84847","pub","8/12/2016","" 
"Randy","PADILLA","A","M",3,"73288","hr","9/10/2018","" 
"Louis","DAY","","M",5,"3X484756","I.T.","3/3/2017","" 
"Russell","WALSH","F","M",2,"73281","acc","12/16/2015","" 
"Vincent","BOWMAN","","M",5,"131300","comp","2/20/2015","" 
"Philip","SCHULTZ","","M",3,"91417","proj","7/8/2015","" 
"Bobby","LUNA","F","M",7,"3X599778","hr","2/10/2006","" 
"Johnny","FOWLER","","M",3,"91401","comp","9/26/2015","" 
"Bradley","MEJIA","J","M",2,"40708","hr","2/7/2016","" 
"Mary","DAVIDSON","","F",5,"119551","comp","2/11/2012","" 
"Patricia","ACOSTA","","F",2,"58475","hr","3/5/2018","" 
"Jennifer","BREWER","J","F",5,"121228","comp","8/23/2017","" 
"Linda","MAY","","F",2,"49215","hr","4/13/2015","" 
"Elizabeth","HOLLAND","A","F",5,"126903","hr","3/30/2016","" 
"Barbara","JUAREZ","A","F",7,"3X414703","I.T.","10/22/2013","" 
"Susan","NEWMAN","","F",5,"115156","hr","6/4/2014","" 
"Jessica","PEARSON","","F",2,"45306","proj","3/11/2017","" 
"Sarah","CURTIS","F","F",1,"37098","acc","8/24/2015","" 
"Karen","CORTEZ","A","F",5,"139572","fin","7/29/2012","" 
"Nancy","DOUGLAS","","F",1,"26545","acc","10/13/2016","" 
"Margaret","SCHNEIDER","F","F",2,"53121","comp","3/24/2017","" 
"Lisa","JOSEPH","J","F",3,"68836","fin","11/23/2014","" 
"Betty","BARRETT","A","F",3,"75298","acc","3/31/2016","" 
"Dorothy","NAVARRO","W","F",1,"23523","fin","3/3/2015","" 
"Sandra","FIGUEROA","","F",4,"98506","pub","6/26/2013","" 
"Ashley","KELLER","P","F",5,"100202","acc","8/10/2017","" 
"Kimberly","AVILA","","F",7,"3X583932","I.T.","6/23/2005","" 
"Donna","WADE","","F",6,"3X410424","acc","7/9/2010","8/31/2016" 
"Emily","MOLINA","W","F",6,"3X410318","fin","10/6/2008","" 
"Michelle","STANLEY","","F",6,"3X414538","pub","12/12/2006","" 
"Carol","HOPKINS","","F",3,"79568","pub","6/9/2017","" 
"Amanda","CAMPOS","","F",2,"63989","pub","8/15/2016","11/20/2019" 
"Melissa","BARNETT","W","F",5,"118974","comp","9/7/2010","" 
"Deborah","BATES","","F",4,"99018","comp","12/5/2017","" 
"Stephanie","CHAMBERS","G","F",5,"131746","hr","3/27/2013","" 
"Rebecca","CALDWELL","","F",3,"66659","fin","8/8/2016","" 
"Laura","BECK","","F",1,"25937","hr","11/16/2016","" 
"Sharon","LAMBERT","","F",6,"3X492267","hr","3/17/2012","" 
"Cynthia","MIRANDA","F","F",7,"3X566209","acc","5/10/2013","" 
"Kathleen","BYRD","A","F",5,"129607","proj","6/7/2013","" 
"Helen","CRAIG","W","F",2,"46889","proj","10/27/2015","" 
"Amy","AYALA","F","F",4,"94497","comp","5/5/2015","" 
"Shirley","LOWE","","F",2,"37865","pub","1/19/2017","" 
"Angela","FRAZIER","","F",5,"121800","I.T.","1/26/2017","" 
"Anna","POWERS","","F",7,"3X549940","fin","4/10/2010","" 
"Brenda","NEAL","","F",7,"3X678886","hr","1/21/2011","" 
"Pamela","LEONARD","","F",6,"3X491416","hr","8/21/2008","" 
"Nicole","GREGORY","","F",6,"3X489762","proj","12/16/2015","" 
"Ruth","CARRILLO","G","F",1,"34843","acc","3/4/2015","6/6/2018" 
"Katherine","SUTTON","W","F",6,"3X419317","acc","5/29/2015","" 
"Samantha","FLEMING","F","F",3,"80905","comp","12/2/2015","" 
"Christine","RHODES","F","F",4,"91849","proj","12/3/2013","" 
"Emma","SHELTON","A","F",7,"3X677010","I.T.","11/11/2003","" 
"Catherine","SCHWARTZ","","F",7,"3X638098","fin","6/27/2012","" 
"Debra","NORRIS","A","F",1,"27457","fin","2/27/2017","" 
"Virginia","JENNINGS","","F",4,"103689","I.T.","3/26/2014","" 
"Rachel","WATTS","","F",5,"129828","proj","12/29/2013","" 
"Carolyn","DURAN","","F",2,"41457","proj","6/2/2015","" 
"Janet","WALTERS","A","F",2,"59354","fin","12/13/2015","" 
"Maria","COHEN","A","F",3,"78284","comp","3/14/2018","" 
"Heather","MCDANIEL","","F",5,"123757","fin","3/20/2013","" 
"Diane","MORAN","","F",7,"3X551548","acc","6/20/2012","7/31/2019" 
"Julie","PARKS","G","F",4,"103276","hr","12/4/2016","" 
"Joyce","STEELE","","F",7,"3X669125","comp","8/22/2007","" 
"Victoria","VAUGHN","","F",2,"46337","fin","8/8/2015","" 
"Kelly","BECKER","A","F",6,"3X409069","hr","3/6/2005","" 
"Christina","HOLT","J","F",3,"80558","acc","3/3/2016","" 
"Joan","DELEON","G","F",5,"129655","fin","2/17/2013","" 
"Evelyn","BARKER","G","F",6,"3X408885","pub","7/30/2014","" 
"Lauren","TERRY","G","F",4,"90896","comp","8/7/2013","" 
"Judith","HALE","W","F",4,"95843","proj","8/16/2017","" 
"Olivia","LEON","","F",7,"3X550152","pub","7/2/2003","" 
"Frances","HAIL","","F",2,"47564","comp","8/17/2016","" 
"Martha","BENSON","G","F",1,"29180","pub","1/13/2016","6/27/2018" 
"Cheryl","HAYNES","","F",6,"3X406511","pub","6/1/2014","2/15/2018" 
"Megan","HORTON","F","F",7,"3X643772","pub","1/8/2006","" 
"Andrea","MILES","","F",1,"32487","proj","6/21/2018","" 
"Hannah","LYONS","","F",6,"3X405988","pub","1/16/2003","" 
"Jacqueline","PHAM","F","F",6,"3X408372","I.T.","4/27/2005","" 
"Ann","GRAVES","F","F",3,"55463","proj","10/2/2018","" 
"Jean","BUSH","","F",7,"3X509820","pub","5/24/2015","" 
"Alice","THORNTON","P","F",7,"3X561762","proj","8/12/2014","" 
"Kathryn","WOLFE","","F",5,"125348","hr","5/31/2014","" 
"Gloria","WARNER","","F",5,"113515","proj","10/21/2011","" 
"Teresa","CABRERA","J","F",1,"22643","comp","7/30/2017","" 
"Doris","MCKINNEY","P","F",4,"106205","comp","3/6/2015","" 
"Sara","MANN","A","F",5,"111281","acc","6/12/2013","" 
"Janice","ZIMMERMAN","","F",5,"125626","fin","3/2/2012","" 
"Julia","DAWSON","W","F",1,"30851","hr","3/20/2015","" 
"Marie","LARA","J","F",6,"3X405224","hr","4/27/2015","" 
"Madison","FLETCHER","F","F",5,"117566","acc","12/11/2015","" 
"Grace","PAGE","","F",5,"122862","I.T.","12/2/2012","" 
"Judy","MCCARTHY","J","F",1,"24807","proj","10/15/2015","1/8/2018" 
"Theresa","LOVE","J","F",6,"3X412575","hr","1/21/2003","" 
"Beverly","ROBLES","G","F",2,"46605","pub","11/25/2017","12/29/2018" 
"Denise","CERVANTES","G","F",5,"120324","comp","9/25/2010","" 
"Marilyn","SOLIS","G","F",3,"81557","comp","10/24/2017","" 
"Amber","ERICKSON","G","F",7,"3X540223","hr","10/6/2013","" 
"Danielle","REEVES","F","F",1,"24857","pub","2/12/2016","4/27/2019" 
